filename,ssim,psnr,status
EHG0494799__X36__Y24.jpg,0.913899,23.832189,ok
EHG0494799__X36__Y27.jpg,0.860750,22.702040,ok
EHG0494799__X36__Y2A.jpg,0.907218,23.676397,ok
EHG0494799__X39__Y27.jpg,0.913190,23.975309,ok
EHG0494801__X06__Y18.jpg,0.934420,24.013189,ok
EHG0494801__X06__Y1B.jpg,0.846224,23.046322,ok
EHG0494801__X21__Y45.jpg,0.895895,23.008898,ok
EHG0494801__X2A__Y0C.jpg,0.943074,24.050371,ok
EHG0494801__X30__Y0F.jpg,0.830306,22.427651,ok
EHG0494801__X3C__Y1B.jpg,0.842626,22.961020,ok
EHG0494801__X3F__Y1B.jpg,0.892368,23.368802,ok
EHG0494802__X06__Y2D.jpg,0.970527,24.196938,ok
EHG0494802__X09__Y18.jpg,0.965478,25.430772,ok
EHG0494802__X0C__Y12.jpg,0.949709,23.972872,ok
EHG0494802__X0C__Y15.jpg,0.879080,24.342314,ok
EHG0494802__X0C__Y18.jpg,0.852921,23.236735,ok
EHG0494802__X15__Y42.jpg,0.932764,23.217533,ok
EHG0494802__X18__Y42.jpg,0.973202,25.813085,ok
EHG0494802__X1B__Y39.jpg,0.819645,22.226711,ok
EHG0494802__X21__Y45.jpg,0.931272,23.520595,ok
EHG0494802__X24__Y45.jpg,0.961268,24.175397,ok
EHG0494802__X48__Y48.jpg,0.943314,23.575452,ok
EHG0494807__X06__Y15.jpg,0.960691,23.743453,ok
EHG0494807__X06__Y1B.jpg,0.957950,23.873029,ok
EHG0494807__X06__Y2A.jpg,0.910471,23.065418,ok
EHG0494807__X15__Y06.jpg,0.971853,23.546185,ok
EHG0494807__X15__Y09.jpg,0.891496,22.893252,ok
EHG0494807__X18__Y3F.jpg,0.883052,23.218856,ok
EHG0494807__X1E__Y03.jpg,0.960575,25.452991,ok
EHG0494807__X21__Y03.jpg,0.959980,24.779474,ok
EHG0494807__X2D__Y06.jpg,0.957494,24.357323,ok
EHG0494807__X30__Y06.jpg,0.971027,24.547401,ok
EHG0494808__X06__Y18.jpg,0.974044,24.315599,ok
EHG0494808__X18__Y3F.jpg,0.913537,23.145727,ok
EHG0494808__X1B__Y3F.jpg,0.863098,22.917713,ok
EHG0494808__X1B__Y45.jpg,0.956573,23.968488,ok
EHG0494808__X24__Y3F.jpg,0.896606,23.375982,ok
